Group name,Group description,Group rules,Date joined,Membership status
Online Book Club,"Here is the order of the book reading for 2019: JANUARY      Stoicism: Introduction to the Good Life (Volume 1) by Lewis Bennett  FEBRUARY    Deep Work: Rules for Focused Success in a Distracted World by Cal Newport  MARCH     This Is Marketing: You Can't Be Seen Until You Learn to See by Seth Godin  APRIL     Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones by James Clear  MAY      Make Time: How to Focus on What Matters Every Day by Jake Knapp & John Zeratsky  JUNE      The AI Advantage: How to Put the Artificial Intelligence Revolution to Work by Thomas H. Davenport  JULY     The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny by Robin Sharma  AUGUST      Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future by Ashlee Vance  SEPTEMBER      Talk Like TED: The 9 Public-Speaking Secrets of the World's Top Minds by Carmine Gallo  OCTOBER   Profit First: Transform Your Business from a Cash-Eating Monster to a Money-Making Machine by Mike Michalowicz  NOVEMBER   The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing by Marie Kondō  DECEMBER  Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone by Brené Brown",Just be nice to each other :) ,2018/12/02 17:52:32 UTC,MEMBER
"Predictive Analytics, Artificial Intelligence and Machine Learning in Retail","Data-driven decisions have been defining the success of retailers long before machine learning and AI were readily available and applicable. More and more retailers track customer shopping habits through data sources such as CRM databases, loyalty programs, social media activity, purchase history, consumer demand, and market trends. But, the ability to apply complex mathematical calculations to big data automatically — iteratively and quickly — is now attainable with machine learning.  This group provides a platform for experts and new entrants to discuss predictive analytics, machine learning (ML) and artificial intelligence (AI) as relevant to marketing, media and retail. It shall offer questions and answers to all the issues people interested and involved in the area.",,2018/05/14 07:41:52 UTC,MEMBER
Analytics Vidhya - Learn All About Artificial Intelligence & Machine Learning,"Analytics Vidhya is a thriving community for data driven industry. This platform allows people to know more about analytics from its articles, Q&A forum, and learning paths. Also, we help professionals & amateurs to sharpen their skillsets by providing a platform to participate in Hackathons. Stay in touch with us to be a perfect and informative data practitioner. www.analyticsvidhya.com   Start your analytics learning now!",,2018/01/22 10:22:55 UTC,MEMBER
"The IBM Watson Group (AI, Cognitive Solutions and IoT)","Welcome to the Cognitive Era. IBM Watson is a cognitive system that enables a new partnership between people and computers that enhances and scales human expertise. This group is dedicated to all things Watson, Cognitive Computing and Cognitive IoT. The Cloud is an important part of this discussion as it allows easy access to Cognitive Computing technology, as is the case with IBM Watson. This group is managed by Bruce Weed.",,2018/01/09 21:55:47 UTC,MEMBER
Text Analytics,"This group brings together people who are working in the Text Analytics field (also known as Text Mining or Information Extraction) or people who are interested in web mining.  The group is of interest to people working in Language Technology (Natural Language Processing, NLP) or Data Mining.",,2018/01/08 19:01:04 UTC,MEMBER
The Artificial Intelligence Group,"Business Leaders across (almost!) all Industry sectors now want to:  1) Learn ‘why’ and ‘how’ to deploy AI successfully throughout their organisations.  2) Connect and build relationships with qualified, experienced AI Professionals.  ‘AI + Industry’ events, launching in London 25th June 2020, will enable them to do both, as illustrated below:  The AI Group on LinkedIn now pulls together an unprecedented 10,000+ AI Experts within its screened global membership. They specialise in every conceivable application of AI, from biomedical imaging and emotional intelligence, to pilotless air travel!  ‘AI + Industry’ events will enable Senior Industry Executives to ‘dynamically’ connect, learn and collaborate with screened AI Professionals.  AI Professionals will wear an ‘AI’ name badge:   Data Scientists, Machine Learning Engineers, Computer Vision Researchers, Roboticists, NLP Specialists, Neuroscientists, Autonomous Driving Experts, AI Financiers, Computer Science and Philosophy Professors, and PhD Students.  Senior Industry Executives will wear an ‘IND’ name badge:  CEO’s, CTO’s, CFO’s, CMO’s, Heads of Sales, Heads of HR, Heads of Sales, Medical Practitioners, Lawyers, Accountants...  At AI + Industry events, an AI Company + one of their Industry clients will together describe, step by step, how they integrated AI successfully, within the client’s organisation, to solve a specific business problem, common to many enterprises.  ‘IND’ badge wearers bring one unmet goal or currently unresolved business problem, (20 words max.) to the event, for the AI + Industry Team collaboration session!  Tickets from £395 (half day event) and £695 (full day event) will be available at www.aiandindustry.com, from February. Follow @theaigroup on Twitter, for updates.  ————  The AI Group’s dedicated PR platform is called Durtti. (www.durtti.com). The name “Durtti” highlights the lack of clean water available to 748 million people in the world today – a problem that AI might one day solve? ",,2017/12/16 08:09:53 UTC,MEMBER
IEEE Computer Society Members,Welcome! This group links members of the IEEE Computer Society and also links professionals in computing. You do not have to be a member of the IEEE / IEEE Computer Society. Join!,"Product/service spam will be blocked, and your business will be removed from the group.",2017/11/22 20:20:58 UTC,MEMBER
"TensorBeat (Daily News about Machine Learning, Deep Learning, and AI)","Why. Why don't we standardize and democratize the field with and around machine learning, deep learning and AI, and help change the world!?  What. We are a local micro community of those interested in advancing their knowledge of machine learning, deep learning, and AI, its use cases and applications.   How. Join our group for a regular dose of knowledge, news, human interaction, conversations, smiles on all things deep learning and machine learning:   • News  • Opinions  • How-To's & Best Practices  • Tutorials  • Models  • Algorithms  • Multi-GPU Autoscaling in the cloud  • Tools & Integrations  We will learn how others solve some of the hard problems that exist in the world around us, and how others make predictive APIs and applications.   You are welcome:)",,2017/11/21 11:30:50 UTC,MEMBER
Analytics and Artificial Intelligence (AI) in Marketing and Retail,"As companies worldwide have been building up their data and analytical capabilities for several years now, many marketing, media and digital managers would theoretically have at their disposal enough tools to get a better understanding of their consumers. But do they know how to achieve this? What are the challenges?  This group provides a platform for experts to discuss analytics, machine learning (ML) and artificial intelligence (AI) as relevant to marketing, media and retail. It shall offer questions and answers to all the issues people interested and involved in the area may encounter, such as:  - Concepts and methodologies: visualisation, statistical analysis, econometrics, data mining, deep learning, natural language processing (NLP), speech recognition, voice recognition, ""Big Data"" technology, Internet of Things (IOT), etc.  - Applications: Market segmentation, classification, optimization, customer lifetime management, cross- / up-selling, demand forecasting, media mix modelling (MMM), attribution, pricing, advertising efficiency, KPI, optimisation, market basket analysis, fraud detection, customer relationship management (CRM), Customer Data Platform (CDP),  data management platforms (DMP), programmatic buying, sentiment analysis, chatbots, recommender systems, personalization, identity resolution, search, social semantics, predictive customer service, ad targeting, content generation, etc.  - Industries: Advertising, Automotive, Banking, Casino & Gaming, Consulting, Consumer Goods (CPG, FMCG), e-Commerce, Cosmetics, Financial Services, Government, Healthcare, Hospitality, Insurance, Luxury, Manufacturing, Market Research, Media, Oil & Gas, Pharmaceuticals, Retail & Distribution, Travel & Entertainment, Telecommunications, etc.  - Challenges: Technology, data management, modelling, deployment, organisational issues, ROI, cultural change, talent acquisition, compliance, ethics, taxation, privacy, data privacy, GDPR, etc.  Dear friends, the stage is yours!",,2017/11/15 08:48:46 UTC,MEMBER
Data Scientists,Evolve your data management practices for the new digital data era.    We aim to solve problems and create products that are valued within the scientific research community.    Data Scientists hope to provide assistance in:      * enabling best practice in scientific research;      * providing an interface between scientific analysis and technology;      * increasing performance of new applications and data services; and      * decreasing the effort required by researchers in adopting new applications and data services.,"There are no rules, however, whenever possible please communicate with the true intention of the soul.",2016/09/01 07:47:41 UTC,MEMBER
India analytic and data science forum,This group is dedicated to data science and analytic professionals working in India. The agenda is to discuss ideas and trends that can better be understood by people working here.,,2016/08/27 07:49:10 UTC,MEMBER
Machine Learning Professionals Global,"Tools, frameworks, must-reads & best practices related to pattern recognition, predictive analysis, recommender systems, algorithm design, computer vision, Natural Language Processing (NLP), Neural Networks and the broader area of Machine Intelligence & Deep Learning! Python, R, Scala, MATLAB, TensorFLow, Spark.....PLEASE READ THE GROUP RULES before participating! Visit the AI Expert Community at https://community.aigents.co ","•	Members that do not obey group rules will be blocked without prior notice!   •	All posts must be relevant. Post should cover topics related to Artificial Intelligence (AI) & Machine Learning (pattern recognition, predictive analysis, recommender systems). No exceptions!  •	No job postings allowed at the moment!  •	Never post duplicated content. Never post the same content twice!  •	Commercial post (product/ platform/ company promotions, recruitment et cetera) will be deleted by moderator. Contributor will be blocked! ",2016/08/26 16:28:27 UTC,MEMBER
"Artificial Intelligence, Deep Learning, Machine Learning","AIAI is an alliance of AI ecosystem innovators committed to creating the next generation of machine intelligence.   https://aiacceleratorinstitute.com  Conversations and content about Artificial Intelligence, Deep Learning, Machine Learning, AI Accelerators, AI Hardware, AI chipsets, computer vision, embedded systems, ASIC, SoC, Tensorflow, Edge TPU, embedded systems, computer vision, RISC-V and more. ","I'm glad to have you as a member of the group! The following rules are meant to encourage relevant, meaningful conversations about AI, Deep Learning, machine learning, computer vision, embedded systems, ASIC, SoC, Big Data, Analytics and more.   GUIDELINES FOR POSTING  1. Keep comments and discussions focused on the goals of the group (off-topic contributions could be deleted, and members removed from the group).  2. Respect other people's experiences and advice, even if you disagree.   3. Don't repost your comment or discussion if it doesn't appear right away (it can take a day for submissions to make it through the moderation queue).  4. If you find a comment offensive, flag it for review by the moderator. If enough people flag a comment, it will be removed from view until it's reviewed. Please keep in mind that moderators can remove any comment or discussion for the best interest of the group.   Questions or concerns? Please feel free to send me a message.  Josie King Group Owner",2016/08/22 09:44:18 UTC,MEMBER
Data Scientist Jobs,Looking for a data science job? We have lots of job openings.,"The Data Scientist Jobs group is brought to you by http://joba.co/us/data-scientist    Have new jobs, in your town, automatically sent to you. Sign up at http://joba.co/us/data-scientist#job-alerts",2016/06/26 17:19:29 UTC,MEMBER
Data Science  Central,"Co-founded by Vincent Granville and part of the DataScienceCentral.com community, our  focus is on data science, machine learning, AI, deep learning, dataviz, business analytics, predictive modeling, big data, Hadoop, IoT, decision science, and BI.","Please keep all posts relevant to the topic(s) of Data Science and Big Data.    Please do not post promotional materials or links to other blogs.  Our goal is to keep the conversation on point and within the Data Science Central Community.   Jobs must be posted in the Jobs section, otherwise they will not be approved.  Only Jobs posted on www.AnalyticTalent.com will be approved.  This group is closely and carefully monitored with great effort to make the quality of the content here relevant and useful to those working in the DS/Big Data market.",2016/05/13 12:31:12 UTC,MEMBER
Academic Researchers (3890744),"Group aims at sharing the information among the academic researcher on conferences around the world, call for papers for research Journals and similar other events. Also explore opportunities for doing joint research.",,2015/08/31 15:29:09 UTC,MEMBER
NIT (National Institute of Technology) Alumni,This group connects alumni and students from all National Institute of Technology (NIT's of India),Please:  1. Don't post jobs and promotions under discussions  2. Don't post irrelevant content  3. Don't use abusive language  4. Respect privacy of others  5. Contribute to promote this group and make brand NIT a bigger brand  6. If you see some one not following rules 1 through 4 (any one of them) just flag their message and the people themselves. Your one click will help cleaning this group and will make it better for your and others.    If you are not following first 4 rules you will be first banned to publish and later will be blocked from the group.,2015/08/14 06:49:08 UTC,MEMBER
IEEE Region 10,"The IEEE is the world’s largest technical professional association with a membership over 400,000 and annual budget of $380 million. It employs approximately 1,000 staff and supported by around 200,00 volunteers. IEEE is divided into ten regions, Region 1 – Region 10. The Region 10, also known as the Asia-Pacific Region, is the largest region in IEEE with a membership of 90,000 at the end of 2010, which corresponds to 20% of the whole membership.    Goals:  •Providing more benefit to members:   Region 10 will actively work on professional activities because our members do not have benefits in comparison with US members such as insurance and credit cards. Fortunately, IEEE Member and Geographic Activities Board set up this initiative. At the same time, the Humanitarian Technology Challenge Initiative was created in IEEE HQ to seek a systematic approach for applying technology to solve disasters and health problems. Region 10 will be proactive to this, also.  •Focusing more on Fellow and Senior Grade Membership growth in Region 10 because our ratio of the number of Senior and Fellow members to regular members is below the world average.  •Taking more care of our large number of Sections and Chapters  •Making R10 Homepage more informative and  •Enhancing Technical Activities, which will hold more technical seminars and distinguished lecture programs in our region.",,2015/05/23 10:06:01 UTC,MEMBER
Engineering Career Opportunities (Jobs & Employment),"ECO is established to provide a direct forum for engineering and technical professionals to explore and discuss current career opportunities in their field.  ECO also serves the recruiting community by providing the opportunity for employers and recruiters to connect with skilled and talented professionals seeking new opportunities.  The sole purpose of this group is to connect the two.    Members are encouraged to post and respond to career opportunities, offer advice and information, and to refer other individuals that are in need of career assistance.    Keywords:  career opportunity job position professional, engineering jobs career careers employment engineering opportunities work engineer Electrical Engineer Electrical Designer Mechanical Engineer Mechanical Designer Instrumentation & Controls (I&C) Engineer Process Engineer Project Manager Project Engineer Procurement engineer (Nuclear) Nuclear Criticality Engineer Fire Protection Engineer Pipe Stress Engineer oil & gas petrochemical refinery design HVAC natural gas conceptual design detailed design power plant, career opportunities career advancement engineering, procurement doe commercial fossil autocad microstation etap cad mechanical structural civil designer nuclear fossil industrial commercial power jobs employment career position","It is important to understand that the purpose of this group is to connect job seekers and recruiters and/or hiring managers.  There is a general understanding that if you are not a recruiter (or maybe you are) that you are seeking new career opportunities and are open to LinkedIn invitations and contact for this purpose.     If you are a job seeker, please be open to receiving and accepting invites from recruiters.  If you choose not to accept an invite, please select the ""ARCHIVE"" option from the email request.  This will essentially delete the message. If you select the ""I DON'T KNOW"" option, LinkedIn will penalize the sender.  Multiple penalties will significantly limit a user’s capabilities on LinkedIn.    Just a couple of simple rules.  1) Please post jobs in the ""jobs discussion section"", not the ""discussions"" or ""promotions"" section.    2) All job posts must include instructions on ""how to apply"".    4) Most people prefer to post location in the job title section - this is optional here, but VERY helpful.    5) This is a networking group, please take advantage of this.  Feel free to post email address and invitations to connect, etc.  (Just do it in the ""discussions"" section please)    6) NO SELLING! NO SPAM! - Please do not use this site to promote a product or paid service of any kind - software, your own job board/site, literature, etc.  Links to articles about interviews, resumes, and/or job hunting practices are unwelcome.  The purpose of this group is connect job seekers and recruiters/hiring managers, NOT to solicit products or gain notoriety from articles. Abuse of this rule will guarantee your removal from the group.    7) For JOB SEEKERS, please refrain from posting ""Please review my profile"" or any variation of this request.  This is not an efficient use of this group or LinkedIn.  If you are interested in a posted position, please follow the instructions on ""how to apply"".",2014/04/25 05:48:33 UTC,MEMBER
NIT(National Institute of Technology)  Entrepreneur,"This group will connect alumni and student entrepreneurs from all National Institute of Technology (NIT's of India)    New Business opportunities:  Greentech, Cloud computing, Virtualization, Web 2.0,  Business intelligence, Smartphone, Biotech, Bioscience, medical devices, Organic products, Nanotechnology, Vertical search engines and others    Skills and Industries:   Engineering, IT, Telecom, Federal, Commercial, Education, Training, Health, Water, Energy, Mechanical, Agriculture, Chemical, Civil, Structural, Telecom, Utilities, Food, Retail, Finance, HR, Entrepreneur, Government, VC, Funding, Private Equity, Media and Entertainment and others.",,2012/07/09 21:30:39 UTC,MEMBER
National Institute of Technology Warangal Alumni,"The NITW Alumni Association is a registered body and is headquartered at Warangal. It has an enviable record of having established and maintaining a strong network among Alumni through several of its regional chapters in India and the US.  Keywords: Regional Engineering College, RECW, NIT, REC",,2012/04/17 14:35:33 UTC,MEMBER
NIT Warangal Alumni and Students,"With more than 5000 members, this is the fastest growing and official group for all NIT Warangal alumni and students. NITW is  a premier deemed university (earlier known as REC Warangal). Focus is to expand the networking within alumni, share their professional contacts and experiences to fellow alumni and help advance careers. Keywords: Regional Engineering College, RECW, NIT, REC",,2011/03/25 15:12:07 UTC,MEMBER
"Advanced Analytics, Predictive Modeling & Statistical Analyses Professionals Group","Members are technology professionals with a common foundation of advanced quantitative education and experience in areas of advanced analytics, statistical modeling, data mining and quantitative analyses.  Network, collaborate, and find career opportunities. NO RECRUITERS.",,,MEMBER
